epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.58921,1.56326,11.314,1.05999,0.0019,0.18182,0.0251,0.0101,1.67882,6.36753,1.31246,0.00026,0.00026,0.00026
2,10.5379,1.81615,14.6601,1.24396,0.00333,0.31818,0.00556,0.00225,1.8902,6.86456,1.32368,0.000529308,0.000529308,0.000529308
3,15.7055,1.79899,12.2896,1.13447,0.00286,0.27273,0.05589,0.01892,1.87924,6.33731,1.31346,0.000787528,0.000787528,0.000787528
4,20.8988,1.86479,15.3788,1.3878,0.0019,0.18182,0.09667,0.03251,1.83913,6.24035,1.70148,0.00103466,0.00103466,0.00103466
5,26.1694,1.5381,18.4202,1.24633,0.0019,0.18182,0.09667,0.03251,1.83913,6.24035,1.70148,0.0012707,0.0012707,0.0012707
6,31.3362,1.89574,11.6677,1.41591,1,0.17619,0.40922,0.17842,1.8778,5.75858,1.56598,0.00149566,0.00149566,0.00149566
7,36.4121,1.62426,9.77492,1.24418,1,0.17619,0.40922,0.17842,1.8778,5.75858,1.56598,0.00170953,0.00170953,0.00170953
8,41.5576,1.63695,16.0966,1.16686,0.79474,0.36364,0.42421,0.20371,1.89576,5.50299,1.58719,0.0017228,0.0017228,0.0017228
9,46.626,1.59748,10.5593,1.21596,0.79474,0.36364,0.42421,0.20371,1.89576,5.50299,1.58719,0.0016832,0.0016832,0.0016832
10,51.7293,1.81763,9.91995,1.25949,0.79474,0.36364,0.42421,0.20371,1.89576,5.50299,1.58719,0.0016436,0.0016436,0.0016436
11,56.9804,1.74988,9.30444,1.39916,0,0,0,0,2.01761,8.63557,2.02739,0.001604,0.001604,0.001604
12,62.2187,1.73014,10.1603,1.31066,0,0,0,0,2.01761,8.63557,2.02739,0.0015644,0.0015644,0.0015644
13,67.376,1.83107,9.39216,1.32396,0.00143,0.13636,0.00088,0.0007,1.84307,10.8569,1.84426,0.0015248,0.0015248,0.0015248
14,72.5988,1.78004,10.7875,1.23376,0.00143,0.13636,0.00088,0.0007,1.84307,10.8569,1.84426,0.0014852,0.0014852,0.0014852
15,77.8218,1.67617,10.2845,1.19648,0.58467,0.09091,0.18367,0.11758,1.74577,4.8336,1.49445,0.0014456,0.0014456,0.0014456
16,83.0238,1.70264,10.8025,1.24658,0.58467,0.09091,0.18367,0.11758,1.74577,4.8336,1.49445,0.001406,0.001406,0.001406
17,88.1515,1.58671,9.59235,1.14314,0.58467,0.09091,0.18367,0.11758,1.74577,4.8336,1.49445,0.0013664,0.0013664,0.0013664
18,93.4145,1.37847,7.29601,1.1555,0.27403,0.36364,0.24421,0.1345,1.86375,4.52059,1.61335,0.0013268,0.0013268,0.0013268
19,98.6054,1.43422,7.72624,1.18004,0.27403,0.36364,0.24421,0.1345,1.86375,4.52059,1.61335,0.0012872,0.0012872,0.0012872
20,103.878,1.58429,7.96736,1.16144,0.47308,0.36364,0.41401,0.19969,1.84351,3.30898,1.95557,0.0012476,0.0012476,0.0012476
21,109.024,1.74449,7.79153,1.31211,0.47308,0.36364,0.41401,0.19969,1.84351,3.30898,1.95557,0.001208,0.001208,0.001208
22,114.142,1.42164,12.2936,1.09177,0.2574,0.18182,0.16357,0.10018,1.93972,4.04251,2.20629,0.0011684,0.0011684,0.0011684
23,119.262,1.6239,7.63567,1.19381,0.2574,0.18182,0.16357,0.10018,1.93972,4.04251,2.20629,0.0011288,0.0011288,0.0011288
24,124.617,1.38708,5.94845,1.08729,0.79485,0.54545,0.55666,0.24764,1.92457,3.31802,1.58252,0.0010892,0.0010892,0.0010892
25,129.808,1.54965,6.91272,1.06328,0.79485,0.54545,0.55666,0.24764,1.92457,3.31802,1.58252,0.0010496,0.0010496,0.0010496
26,135.14,1.44849,6.90745,1.18728,0.79485,0.54545,0.55666,0.24764,1.92457,3.31802,1.58252,0.00101,0.00101,0.00101
27,140.334,1.41297,6.08539,1.12244,0.66111,0.62122,0.60926,0.25095,1.93524,3.17132,1.66315,0.0009704,0.0009704,0.0009704
28,145.57,1.31967,5.3095,1.04307,0.66111,0.62122,0.60926,0.25095,1.93524,3.17132,1.66315,0.0009308,0.0009308,0.0009308
29,150.83,1.40978,7.50837,1.19347,0.93698,0.67614,0.73286,0.29293,1.80542,3.08464,1.59501,0.0008912,0.0008912,0.0008912
30,156.07,1.38523,5.74342,1.10653,0.93698,0.67614,0.73286,0.29293,1.80542,3.08464,1.59501,0.0008516,0.0008516,0.0008516
31,161.354,1.26628,5.28057,1.00228,0.82501,0.72727,0.71985,0.32591,1.79271,2.82415,1.58304,0.000812,0.000812,0.000812
32,166.5,1.27836,8.87286,0.98479,0.82501,0.72727,0.71985,0.32591,1.79271,2.82415,1.58304,0.0007724,0.0007724,0.0007724
33,171.768,1.30833,5.36296,1.05,0.82501,0.72727,0.71985,0.32591,1.79271,2.82415,1.58304,0.0007328,0.0007328,0.0007328
34,176.984,1.34923,5.63001,1.01855,0.83195,0.67542,0.6892,0.32205,1.80907,2.65053,1.63453,0.0006932,0.0006932,0.0006932
35,182.215,1.25479,7.6826,1.00135,0.83195,0.67542,0.6892,0.32205,1.80907,2.65053,1.63453,0.0006536,0.0006536,0.0006536
36,187.576,1.21617,4.78247,1.03753,0.82345,0.63602,0.69236,0.34485,1.81903,2.57425,1.63755,0.000614,0.000614,0.000614
37,192.877,0.99365,7.69436,0.97933,0.82345,0.63602,0.69236,0.34485,1.81903,2.57425,1.63755,0.0005744,0.0005744,0.0005744
38,198.102,1.33592,5.99755,0.97238,0.82349,0.63622,0.69163,0.33001,1.86327,2.40521,1.68593,0.0005348,0.0005348,0.0005348
39,203.287,1.46215,4.3695,1.14348,0.82349,0.63622,0.69163,0.33001,1.86327,2.40521,1.68593,0.0004952,0.0004952,0.0004952
40,208.468,1.31088,5.10886,1.08368,0.81353,0.68182,0.69723,0.31836,1.78222,2.41092,1.63714,0.0004556,0.0004556,0.0004556
41,213.538,1.34979,7.89734,1.1143,0.81353,0.68182,0.69723,0.31836,1.78222,2.41092,1.63714,0.000416,0.000416,0.000416
42,218.538,1.30508,7.40978,1.08845,0.81353,0.68182,0.69723,0.31836,1.78222,2.41092,1.63714,0.0003764,0.0003764,0.0003764
43,223.714,1.30922,8.05863,1.08753,0.74837,0.72727,0.70426,0.29255,1.78893,2.64693,1.67931,0.0003368,0.0003368,0.0003368
44,228.812,1.25093,6.23438,1.01667,0.74837,0.72727,0.70426,0.29255,1.78893,2.64693,1.67931,0.0002972,0.0002972,0.0002972
45,234.059,1.26142,6.66974,1.10233,0.75723,0.72727,0.71477,0.28548,1.76486,2.62711,1.71483,0.0002576,0.0002576,0.0002576
46,239.376,1.22286,5.72472,1.09422,0.75723,0.72727,0.71477,0.28548,1.76486,2.62711,1.71483,0.000218,0.000218,0.000218
47,244.681,1.28901,6.62317,1.06767,0.76712,0.68182,0.70927,0.31279,1.78015,2.66057,1.68716,0.0001784,0.0001784,0.0001784
48,249.787,1.10924,6.46757,1.02496,0.76712,0.68182,0.70927,0.31279,1.78015,2.66057,1.68716,0.0001388,0.0001388,0.0001388
49,255.191,1.22534,6.30032,1.0584,0.76712,0.68182,0.70927,0.31279,1.78015,2.66057,1.68716,9.92e-05,9.92e-05,9.92e-05
50,260.293,1.16737,6.40941,1.07373,0.78729,0.68182,0.70437,0.3113,1.74606,2.65152,1.62574,5.96e-05,5.96e-05,5.96e-05
